Timestamp,Email Address,Name,Location,Age Range,Gender,Role,Products Interested in Buying/Selling,Occupation ,Occupation  Sector,Target Regions
2/12/2024 14:25,gconway@yahoo.com,Alexandra Evans,Germany,18-25,Male,Seller,Inverters,Manufacturer,Energy,North America
5/31/2024 14:25,jessicaward@gmail.com,Denise Rios,Canada,56+,Female,Buyer,"Wind Turbines, Inverters, Battery Storage",Manufacturer,Agriculture,Southeast Asia
7/27/2024 14:25,steven92@ramirez-evans.com,Kim Anderson,Brazil,26-35,Female,Buyer,"Battery Storage, Wind Turbines",Installer,Manufacturing,Southeast Asia
9/24/2024 14:25,rachel28@yahoo.com,Mr. Aaron Grimes,China,46-55,Male,Buyer,"Inverters, Wind Turbines, Solar Panels",Installer,Manufacturing,South America
9/5/2024 14:25,danielmitchell@yahoo.com,Elizabeth Mullins,United States,56+,Female,Buyer,"Solar Panels, Battery Storage, Wind Turbines",Retailer,Manufacturing,Eastern Europe
2/4/2024 14:25,michaelmartinez@fischer.com,Jessica Willis,Brazil,46-55,Female,Seller,"Solar Panels, Wind Turbines, Consulting Services",Distributor,Technology,Western Europe
2/13/2024 14:25,dcosta@young.com,Courtney Shelton,Kenya,26-35,Female,Seller,Battery Storage,Consultant,Agriculture,Southeast Asia
2/19/2024 14:25,fortiz@perez.org,Kendra Bryant,United States,18-25,Male,Seller,"Solar Panels, Wind Turbines",Consultant,Manufacturing,West Africa
7/3/2024 14:25,nicole02@hotmail.com,Sean Walker,China,56+,Male,Seller,"Battery Storage, Wind Turbines, Consulting Services",Consultant,Agriculture,South Asia
10/19/2024 14:25,travisstewart@yahoo.com,Bruce Chang,Canada,46-55,Male,Buyer,Inverters,Manufacturer,Construction,Southeast Asia
2/20/2024 14:25,shane05@hotmail.com,Rita Johnson,Brazil,46-55,Female,Seller,Solar Panels,Installer,Manufacturing,Eastern Europe
4/14/2024 14:25,jmelton@yahoo.com,Evelyn Nelson,United States,36-45,Female,Seller,Inverters,Manufacturer,Agriculture,South America
12/27/2023 14:25,kristin57@yahoo.com,Chelsea Mendoza,United States,46-55,Male,Buyer,"Wind Turbines, Inverters",Retailer,Construction,South America
5/21/2024 14:25,petersutton@duffy.com,Michael Buckley,United Kingdom,56+,Male,Buyer,Inverters,Retailer,Construction,Eastern Europe
9/22/2024 14:25,cheryl40@gmail.com,Hannah Golden,Brazil,26-35,female,Seller,"Consulting Services, Inverters, Solar Panels",Consultant,Construction,Southeast Asia
5/14/2024 14:25,robert27@hotmail.com,Meredith Banks,Germany,26-35,Female,Buyer,Wind Turbines,Manufacturer,Technology,North America
5/24/2024 14:25,jennifer46@hotmail.com,Tony Garcia,China,26-35,Male,Buyer,Inverters,Retailer,Technology,Southeast Asia
6/4/2024 14:25,greyes@hotmail.com,Nicolas Ross,India,46-55,Female,Seller,"Battery Storage, Solar Panels, Wind Turbines",Installer,Energy,Eastern Europe
1/17/2024 14:25,mariaperez@chavez.org,Kayla Drake,China,18-25,Male,Seller,"Inverters, Consulting Services, Wind Turbines",Installer,Technology,West Africa
7/21/2024 14:25,meganpowell@yahoo.com,Dawn Copeland,India,56+,Male,Seller,Wind Turbines,Installer,Manufacturing,Australia
1/20/2024 14:25,laura54@hotmail.com,Ronald Ferguson,China,36-45,Male,Buyer,Solar Panels,Manufacturer,Construction,East Africa
7/17/2024 14:25,josephcohen@gmail.com,Curtis Cobb,China,18-25,Female,Buyer,"Battery Storage, Solar Panels, Inverters",Installer,Agriculture,Eastern Europe
12/15/2023 14:25,christopherschmidt@bradley-anderson.org,Thomas Bush,United States,46-55,Male,Buyer,"Wind Turbines, Solar Panels, Battery Storage",Retailer,Energy,South America
2/28/2024 14:25,anthonyhenry@gmail.com,Samantha Alexander,China,36-45,Female,Buyer,"Wind Turbines, Inverters",Distributor,Construction,East Africa
10/14/2024 14:25,mark30@gmail.com,Kathy James,Kenya,18-25,Female,Buyer,Inverters,Manufacturer,Agriculture,West Africa
7/23/2024 14:25,nrangel@suarez.com,Donald Galvan,Nigeria,36-45,Male,Seller,"Battery Storage, Inverters, Consulting Services",Retailer,Technology,Middle East
1/9/2024 14:25,ejames@fox-briggs.com,Mary Johnston,United Kingdom,18-25,female,Buyer,"Wind Turbines, Battery Storage, Inverters",Consultant,Technology,West Africa
1/7/2024 14:25,simskayla@yahoo.com,Kelly Miller,Canada,46-55,female,Buyer,"Inverters, Wind Turbines",Consultant,Construction,West Africa
1/27/2024 14:25,mitchellricardo@nunez.com,Heather Barr,United States,56+,Male,Buyer,"Solar Panels, Inverters, Battery Storage",Installer,Manufacturing,Australia
6/9/2024 14:25,catherineanderson@schaefer-pittman.com,Michael Parker,Brazil,36-45,Male,Buyer,Solar Panels,Consultant,Agriculture,North America
11/9/2024 4:14,balmsclinic@gmail.com,Onyii ,India,30-39,Male,Buyer,Solar panels ,Banker,Banking,South America
11/9/2024 20:36,tendaichiv@outlook.com,Tawanda,United Kingdom,30-39,Male,Both ( buyer and seller),"Solar panels, Inverter, Wind Turbines",Retailer,Energy,Eastern Europe
11/10/2024 0:49,chivasatatenda2@gmail.com,Tatenda Chivasa ,United Kingdom,30-39,Female,Buyer,"Battery Storage, Inverters, Consulting Services",Banker,Banking,West Africa
11/10/2024 15:02,ichrisnora@gmail.com,Ifunanya ,Nigeria,30-39,Female,Both ( buyer and seller),"Wind Turbines, Solar Panels, Battery Storage",Distributor,Technolgy,West Africa
